areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2022-04-18,90+,327,2864,549.6
E92000001,England,nation,2022-04-18,unassigned,7,44,
E92000001,England,nation,2022-04-17,00_04,276,2251,69.5
E92000001,England,nation,2022-04-17,00_59,11133,103637,241.6
E92000001,England,nation,2022-04-17,05_09,220,2140,60.5
E92000001,England,nation,2022-04-17,10_14,270,2564,74.6
E92000001,England,nation,2022-04-17,15_19,413,3989,128.0
E92000001,England,nation,2022-04-17,20_24,796,7523,216.6
E92000001,England,nation,2022-04-17,25_29,1056,10392,275.5
E92000001,England,nation,2022-04-17,30_34,1364,12748,333.3
E92000001,England,nation,2022-04-17,35_39,1241,12021,321.6
E92000001,England,nation,2022-04-17,40_44,1258,11256,323.8
E92000001,England,nation,2022-04-17,45_49,1288,11459,314.9
E92000001,England,nation,2022-04-17,50_54,1444,13387,345.4
E92000001,England,nation,2022-04-17,55_59,1507,13907,369.7
E92000001,England,nation,2022-04-17,60+,5118,50623,370.6
E92000001,England,nation,2022-04-17,60_64,1294,12357,386.5
E92000001,England,nation,2022-04-17,65_69,1077,10103,362.9
E92000001,England,nation,2022-04-17,70_74,975,9355,332.4
E92000001,England,nation,2022-04-17,75_79,718,7124,354.4
E92000001,England,nation,2022-04-17,80_84,457,4785,330.2
E92000001,England,nation,2022-04-17,85_89,343,3682,415.9
E92000001,England,nation,2022-04-17,90+,254,3217,617.4
E92000001,England,nation,2022-04-17,unassigned,1,46,
E92000001,England,nation,2022-04-16,00_04,240,2365,73.0
E92000001,England,nation,2022-04-16,00_59,10563,110392,257.4
E92000001,England,nation,2022-04-16,05_09,225,2407,68.0
E92000001,England,nation,2022-04-16,10_14,264,2810,81.8
E92000001,England,nation,2022-04-16,15_19,472,4312,138.4
E92000001,England,nation,2022-04-16,20_24,756,7980,229.8
E92000001,England,nation,2022-04-16,25_29,1022,11044,292.8
E92000001,England,nation,2022-04-16,30_34,1260,13461,352.0
E92000001,England,nation,2022-04-16,35_39,1121,12933,346.0
E92000001,England,nation,2022-04-16,40_44,1175,11915,342.7
E92000001,England,nation,2022-04-16,45_49,1228,12163,334.3
E92000001,England,nation,2022-04-16,50_54,1346,14260,368.0
E92000001,England,nation,2022-04-16,55_59,1454,14742,391.9
E92000001,England,nation,2022-04-16,60+,5510,53198,389.4
E92000001,England,nation,2022-04-16,60_64,1320,13147,411.3
E92000001,England,nation,2022-04-16,65_69,1141,10521,377.9
E92000001,England,nation,2022-04-16,70_74,1097,9822,349.0
E92000001,England,nation,2022-04-16,75_79,769,7555,375.9
E92000001,England,nation,2022-04-16,80_84,497,5034,347.4
E92000001,England,nation,2022-04-16,85_89,389,3815,430.9
E92000001,England,nation,2022-04-16,90+,297,3304,634.1
E92000001,England,nation,2022-04-16,unassigned,4,51,
E92000001,England,nation,2022-04-15,00_04,263,2519,77.8
E92000001,England,nation,2022-04-15,00_59,11498,115374,269.0
E92000001,England,nation,2022-04-15,05_09,244,2646,74.8
E92000001,England,nation,2022-04-15,10_14,321,3087,89.9
E92000001,England,nation,2022-04-15,15_19,500,4461,143.2
E92000001,England,nation,2022-04-15,20_24,790,8261,237.9
E92000001,England,nation,2022-04-15,25_29,1096,11503,305.0
E92000001,England,nation,2022-04-15,30_34,1370,14064,367.7
E92000001,England,nation,2022-04-15,35_39,1341,13616,364.2
E92000001,England,nation,2022-04-15,40_44,1238,12442,357.9
E92000001,England,nation,2022-04-15,45_49,1283,12629,347.1
E92000001,England,nation,2022-04-15,50_54,1523,14874,383.8
E92000001,England,nation,2022-04-15,55_59,1529,15272,406.0
E92000001,England,nation,2022-04-15,60+,5779,55100,403.3
E92000001,England,nation,2022-04-15,60_64,1393,13694,428.4
E92000001,England,nation,2022-04-15,65_69,1188,10885,390.9
E92000001,England,nation,2022-04-15,70_74,1096,10126,359.8
E92000001,England,nation,2022-04-15,75_79,830,7894,392.7
E92000001,England,nation,2022-04-15,80_84,529,5223,360.4
E92000001,England,nation,2022-04-15,85_89,409,3896,440.1
E92000001,England,nation,2022-04-15,90+,334,3382,649.1
E92000001,England,nation,2022-04-15,unassigned,5,58,
